Protein A,Protein B,Publications
P57081,Q93034,1
Q96H20,Q9HCE5,1
P52597,P61978,1
P18887,Q9NUW8,1
P12956,P67809,1
P18077,P62987,1
Q99683,Q9UM73,1
P07814,Q99558,1
O76038,Q9BSJ8,1
Q6P2Q9,Q92917,1
Q5VTD9,Q7Z7M0,1
P16333,Q9UKE5,1
O95619,Q96AY2,1
Q9NPJ6,Q9NV70,1
O60231,O76039,1
P01023,P29474,1
O60884,P08238,1
O00330,P42229,1
Q05655,Q9NR28,1
Q69YQ0,Q9P2Y4,1
Q6P1J9,Q8NEZ4,1
Q6NVY1,Q9H000,1
P84022,Q8IXK0,1
P62906,Q8IXZ2,1
Q969P0,Q9Y281,1
P07910,Q567U6,1
P05198,P62487,1
P02751,P24534,1
O60308,Q9UPN4,1
P23193,Q15459,1
P46379,Q9NRR5,1
Q9UKZ1,Q9Y297,1
O60506,O75037,1
P62269,P62280,1
P49005,Q9Y253,1
P11802,P24864,1
P20226,Q96ST3,1
O00571,Q14240,1
Q7L2H7,Q7Z6Z7,1
P57772,Q13573,1
Q14166,Q15435,1
P14618,Q12931,1
P11142,Q13330,1
P10599,P37802,1
P49736,Q9UK99,1
P62314,P67809,1
P18077,Q13620,1
O43143,P49736,1
Q04206,Q9Y2K7,1
O95793,Q15427,1
Q15633,Q96GQ7,1
P02751,Q16718,1
P15976,Q8TAQ2,1
O75306,P31040,1
P82914,Q92665,1
Q08380,Q9UNF1,1
O96017,Q92878,1
P14678,Q15020,1
O95721,Q9NZM3,1
Q15233,Q8NCM8,1
O43493,Q5VZM2,1
Q15154,Q9Y2I6,1
P24534,Q9NRD1,1
Q9NSE4,Q9UHD1,1
Q05086,Q9UBP6,1
P02751,P21964,1
O60341,P33176,1
O60216,Q86TU7,1
P13646,Q13616,1
P62495,Q14974,1
Q16891,Q8NCC3,1
Q99459,Q99996,1
Q9UMX1,Q9Y234,1
P50225,P67936,1
Q16513,Q5TB80,1
P17028,P25791,1
P27694,Q8IY67,1
P61964,Q9BQ67,1
P18124,P35244,1
P26641,Q9HC52,1
P26373,Q9P0M9,1
P15976,P42574,1
P07900,P14618,1
O15085,P32121,1
P16401,Q00839,1
P11142,P25963,1
P60510,Q9BWH6,1
P50148,P62879,1
Q07866,Q99523,1
P51617,Q16891,1
P11171,Q14980,1
Q12931,Q6YN16,1
P11182,Q8TAA5,1
P19338,Q15717,1
O75947,P06576,1
P09234,P78362,1
P04150,Q15459,1
P27635,Q03468,1
Q13422,Q8TAU3,1
P61019,Q9UI12,1
P47897,Q9UQL6,1
P24387,Q14651,1
O14744,P08621,1
O60841,O75147,1
P06748,P34932,1
P09497,Q96AX1,1
P46379,Q14684,1
P67809,Q8IXW5,1
Q15365,Q9Y2W2,1
P09661,Q9NS69,1
P63104,Q15831,1
Q9UPV0,Q9Y5B9,1
Q5C9Z4,Q6ZW49,1
P52306,Q9HCE1,1
Q6RW13,Q99757,1
Q15075,Q7Z7A4,1
O43175,Q16659,1
O75928,Q96T51,1
P35244,Q86T82,1
Q9NUG6,Q9NVU0,1
P04062,Q9Y4L1,1
P04075,P37837,1
P07437,Q9UQE7,1
O75489,Q13418,1
Q9BV73,Q9Y265,1
Q96AG4,Q96Q45,1
Q32P28,Q9UKF6,1
Q8IV38,Q9Y6D5,1
O75695,Q92990,1
Q13573,Q6P3W7,1
Q96LD8,Q96RU2,1
Q96Q05,Q9HCE1,1
P78504,P78536,1
P07954,P17174,1
P26599,P78362,1
P21333,Q14498,1
Q99615,Q9UBS0,1
Q16539,Q9H8Y8,1
Q9HCK5,Q9UJS0,1
P08238,Q13555,1
Q8N4C6,Q9NQW6,1
P52815,Q8NC60,1
Q13043,Q99661,1
P14618,P17812,1
P17661,Q99832,1
P07948,P35579,1
P09874,P50914,1
P53041,P55060,1
A6NHX0,Q8WTX7,1
O14980,Q969R5,1
P23497,Q9P0U3,1
O75832,Q9C0C7,1
O00571,Q9UQ35,1
Q15633,Q96PK6,1
Q13395,Q8TAF3,1
P06493,Q14004,1
O94776,Q13573,1
Q8IWE2,Q8WUD1,1
O14976,Q8WXE9,1
Q92905,Q9NRD1,1
P49841,Q03701,1
P04075,P23528,1
P62195,P62277,1
O75694,P05412,1
P50914,Q9BQG0,1
P09874,Q13043,1
P62195,Q13618,1
P26038,P27797,1
P25787,P62877,1
P51965,P61960,1
O75398,P36873,1
P78347,Q99459,1
Q12792,Q9NQW7,1
O95714,Q13615,1
P09104,Q99714,1
P35268,P62158,1
P20226,Q10570,1
P49286,Q8NCM8,1
O60506,Q9Y2H6,1
P05455,Q92905,1
O15131,Q7L2J0,1
Q09161,Q9Y606,1
Q86VI3,Q9NS73,1
Q96T51,Q9BRA2,1
P43246,Q02880,1
Q9NXC5,Q9P2P5,1
Q86YD7,Q9Y5X3,1
Q01433,Q13363,1
P08670,Q9UI14,1
Q8IXZ2,Q9BYD2,1
O75475,P15927,1
O95336,Q9NYB0,1
P56282,Q96SF7,1
Q92793,Q9H2X6,1
O43396,Q9Y5T5,1
Q9BTT4,Q9Y3A3,1
P11831,Q14011,1
Q8IV38,Q9Y4X5,1
P14373,Q7Z3B3,1
P38919,Q70IA6,1
O00571,Q06187,1
O14980,P38646,1
P29692,Q9P2P5,1
P32019,Q9BZD4,1
P05161,Q86VP6,1
Q04837,Q504Q3,1
P31930,P34931,1
Q01167,Q13952,1
P07108,Q9BPW8,1
Q13618,Q52LJ0,1
Q9NSK7,Q9Y6K9,1
O00193,Q9NX55,1
Q96RT1,Q9BWH6,1
Q15075,Q99496,1
O43482,P04049,1
Q15366,Q9Y265,1
P42575,Q00987,1
P46940,Q99459,1
P26368,Q8N684,1
P30153,Q9UM13,1
P46934,Q53T94,1
O00444,Q14241,1
P40337,P51991,1
O60701,Q92820,1
Q15717,Q96TC7,1
P00338,P37837,1
Q00341,Q9BY44,1
P33992,Q96PZ0,1
Q9BV29,Q9NUX5,1
Q14247,Q9NP79,1
Q07866,Q93009,1
P84022,Q4LDE5,1
O43684,P05412,1
Q13618,Q9UHX1,1
P11413,Q9UM54,1
O15169,Q9BVJ6,1
P12956,Q09028,1
Q5VYK3,Q96EQ0,1
Q16531,Q96QB1,1
P34932,Q96NL6,1
O95831,Q96HA7,1
Q92466,Q9UPU5,1
P07900,P51617,1
Q12996,Q9NRJ5,1
O75874,Q15293,1
P35244,Q9P2N5,1
P38606,Q96I99,1
P08670,Q9H2D6,1
Q96MF7,Q99523,1
P60866,Q13619,1
P25205,P25963,1
Q13643,Q15654,1
P46531,P53671,1
Q13084,Q9NQ50,1
Q12905,Q15427,1
Q6ICG6,Q9UBV8,1
O95249,Q8WVM8,1
P61026,Q8TDZ2,1
P49366,P61160,1
P68371,Q9HCK5,1
Q86SQ0,Q96B97,1
P51991,Q9NZC7,1
O75140,P05412,1
P07954,Q9NVS9,1
P06576,P09651,1
P07900,Q9NR45,1
Q7Z406,Q8N1B3,1
P61326,Q13435,1
P42566,P62140,1
P46778,Q504Q3,1
O14965,Q9Y618,1
P15408,Q96T51,1
P19532,Q99460,1
P61313,Q13619,1
P60174,Q9NQT4,1
P02452,Q14112,1
P19793,P20226,1
P50990,Q96Q83,1
P11940,P38919,1
O43324,P38606,1
P08238,P17612,1
P12004,Q9HCU8,1
O14777,Q9H2F9,1
Q01081,Q92542,1
P13639,P27797,1
O15063,P31946,1
O75494,P60520,1
P05412,P36969,1
Q49A88,Q96EP0,1
P35658,Q9NUU7,1
Q15637,Q9Y3B4,1
Q02833,Q9H3R5,1
Q07955,Q504Q3,1
O75533,Q12905,1
P56524,Q8WUI4,1
O00628,Q13371,1
Q6P2Q9,Q6Y7W6,1
P31946,Q8TBC3,1
Q6P582,Q9P270,1
Q9BZE4,Q9Y3U8,1
P01033,P24534,1
Q13546,Q8WZ73,1
Q9BUW7,Q9Y5K8,1
Q09472,Q13131,1
P21333,Q14677,1
P60763,Q9UHY1,1
Q01085,Q96EL3,1
O95373,Q15628,1
O00422,P46459,1
P62241,Q96CW5,1
O43314,Q08AM6,1
Q13510,Q96SB4,1
Q6XQN6,Q9UMX5,1
Q15269,Q9NV31,1
Q8WUA2,Q9Y4X0,1
P19838,P62701,1
P07237,Q9NRD1,1
P51116,Q01844,1
P62314,Q13618,1
P40227,Q9NZC7,1
Q15544,Q92804,1
P31150,P61020,1
O43663,O95359,1
Q6NUK1,Q9H444,1
O43390,P62899,1
P25789,Q8N163,1
P01112,Q15831,1
Q8IU60,Q9UJ70,1
Q00535,Q6UXH1,1
Q8N5N7,Q9BYD1,1
P00441,P14550,1
Q96FC9,Q9NZN8,1
P09651,Q9BUJ2,1
P06733,Q13620,1
Q12905,Q9NRD1,1
Q8IZL8,Q9UQ88,1
P07900,Q8IWX7,1
Q96C90,Q99426,1
P56537,Q9UBQ5,1
P98175,Q15427,1
Q04837,Q9Y399,1
P05387,P62269,1
Q13617,Q9H0E3,1
P05412,Q96MG8,1
Q7Z7A1,Q9UNY4,1
P46783,P62917,1
P33992,P37840,1
P15151,P63172,1
O96028,Q8TEQ6,1
O95365,Q13485,1
Q9UM73,Q9Y6K9,1
P49286,Q9UPN7,1
Q16222,Q99523,1
Q9BTC8,Q9UGU0,1
P13489,Q96HE7,1
O14818,P11171,1
P40692,Q99757,1
Q5SWX8,Q8N128,1
Q02241,Q86SQ0,1
P01023,P09104,1
Q9UL18,Q9Y3D9,1
O60921,P00492,1
O43353,P07900,1
P22694,Q9P0L0,1
P78318,Q13555,1
P17987,P63151,1
P27694,Q6I9Y2,1
Q6ZN18,Q9Y297,1
Q13287,Q14669,1
P67775,Q13618,1
Q13233,Q92783,1
P26374,Q13636,1
P06493,Q16204,1
P08670,Q96J01,1
P84103,Q15717,1
P12931,P37840,1
O43143,Q99459,1
P61247,P62993,1
O00567,Q9NPJ6,1
O95835,Q9Y2I6,1
Q00535,Q96AT9,1
Q8WWZ3,Q9P2Y5,1
P05362,Q02878,1
A2RRP1,P04792,1
P07339,P14625,1
Q01850,Q9H0I2,1
O95817,P21796,1
Q13105,Q9P1Z0,1
Q15428,Q9HAU4,1
O95163,P14618,1
O75489,Q9UBU9,1
O15111,P67775,1
P02751,Q9NR30,1
P07948,P25208,1
P15408,P18146,1
O76021,P62081,1
O14980,Q14181,1
Q86Y82,Q99747,1
O43776,Q6ZU80,1
Q9BY66,Q9BYE7,1
O14744,O15479,1
P27708,Q15596,1
O00743,Q9BUF5,1
O75832,P61586,1
P24863,P50991,1
P32121,Q6DKI1,1
Q99747,Q9BXF6,1
Q7Z7A1,Q9H6D7,1
P18124,P46783,1
P40337,Q9Y3C8,1
P08238,Q15131,1
P00492,Q9Y4K3,1
P62277,Q969P0,1
Q13885,Q15014,1
O15212,O95602,1
Q02487,Q96BD8,1
P43034,Q04917,1
Q13618,Q9BRJ7,1
Q969L4,Q96RS0,1
Q15542,Q92830,1
P10809,P24534,1
P41091,P49662,1
Q7Z7G8,Q99615,1
P35222,Q92597,1
O00505,Q9BTL4,1
Q92754,Q9UBK9,1
O75794,P06753,1
P62917,Q9BW71,1
P11802,Q12931,1
P51858,P52926,1
P25205,Q9H0R8,1
Q00987,Q9Y253,1
Q96AQ6,Q9NRR5,1
Q00610,Q15436,1
P31751,Q13541,1
O60925,Q8WUW1,1
P14324,Q9BQC3,1
P02751,P13010,1
P17252,Q9UBU9,1
Q92542,Q9H9B4,1
P40337,Q9UNM6,1
Q15545,Q5VWG9,1
Q01664,Q9Y6J0,1
P35244,Q10567,1
O00764,O60749,1
P58012,Q14139,1
O00571,Q15910,1
P42566,Q12933,1
O75380,P11233,1
O95714,P63092,1
O75817,Q99575,1
Q13185,Q15717,1
Q12933,Q16512,1
P25788,Q12874,1
P12268,P31749,1
P05556,P06733,1
P62191,Q9Y5K8,1
O95817,P50995,1
Q8TDQ7,Q9UMY4,1
P11217,P67775,1
P63220,P84098,1
O60308,Q8IUD2,1
O60264,Q15019,1
O60506,Q13617,1
Q13131,Q8N1B4,1
P25788,Q12846,1
Q8IU81,Q9H0N5,1
Q8N137,Q9NYJ8,1
Q9NQC3,Q9Y4K3,1
O75351,Q12972,1
P38606,Q8N357,1
P04792,P13051,1
Q14197,Q9HCC0,1
Q96PK6,Q9BV73,1
O60749,Q06203,1
P05412,Q14739,1
Q02543,Q9UL18,1
Q6ZW49,Q9UQE7,1
P25705,P68400,1
P33993,Q05655,1
P62241,Q9BYD1,1
Q96RE7,Q99459,1
Q06124,Q6P1J9,1
P11217,Q9UKS6,1
O43149,Q5T447,1
P27348,Q86U42,1
O15031,Q71F23,1
Q8N5S1,Q96I59,1
Q04864,Q9NX01,1
O00267,Q99496,1
P12268,Q92990,1
O75694,P57740,1
O43639,Q15464,1
P62854,Q00839,1
P51587,Q9BTL4,1
Q70UQ0,Q96CM3,1
P08238,Q7L2J0,1
O00148,P78362,1
O95425,P49454,1
P00390,P43490,1
Q00403,Q12947,1
Q15276,Q9NZ32,1
Q09161,Q5VV67,1
Q15637,Q96I24,1
P01111,P62714,1
Q96QK1,Q9Y6Y0,1
Q14181,Q9H1I8,1
P30876,Q14241,1
Q9C0C7,Q9UKB1,1
Q7Z7F7,Q99523,1
O43639,Q13177,1
Q9H6A9,Q9UHB6,1
P29474,Q9BTU6,1
Q16665,Q9BRU9,1
O75312,O75674,1
Q8TF42,Q96PM5,1
O94888,Q9NX18,1
P30876,Q99728,1
O75323,P00558,1
P00558,Q9NRI5,1
Q9BW61,Q9P2J5,1
P04004,P09661,1
O60506,Q15393,1
P11802,Q9UJC3,1
P05412,Q15532,1
Q9BYW2,Q9NQ29,1
P22694,Q99996,1
O76071,Q86TI2,1
P62899,Q86VP6,1
P79522,Q9UFC0,1
O43852,Q9UBT2,1
P28370,P68431,1
Q9GZT9,Q9Y2X9,1
O14980,Q7L2J0,1
P09493,Q06330,1
P07954,Q9HC38,1
Q5VTD9,Q8N2S1,1
P35221,P51784,1
O43542,O75533,1
O14980,P61160,1
P13646,P20618,1
P11940,Q12996,1
P52594,Q9HCN4,1
O60921,P25787,1
P40222,Q96K17,1
Q15717,Q9Y608,1
Q14011,Q9NX58,1
P09661,Q96PK6,1
Q6PKC3,Q99523,1
P20618,Q01130,1
P26639,Q9NSD9,1
P18031,Q9UHA4,1
Q13618,Q93008,1
Q6PJ69,Q96SB4,1
P35749,P63104,1
Q8N5N7,Q9NRX2,1
P27348,Q13470,1
O95625,P62136,1
Q14203,Q7KZI7,1
P62136,Q9NZL9,1
O76094,P11217,1
O95486,Q13200,1
P02545,Q5VV42,1
Q04206,Q86VX2,1
Q68EM7,Q96P20,1
P33992,Q9H0W5,1
P04406,Q12882,1
O60271,Q96A65,1
A1L0T0,P62820,1
P09622,P62829,1
O76071,P10155,1
P15924,P33992,1
Q08117,Q9NR56,1
P17066,P22681,1
P52292,Q9UK53,1
P80303,Q96GM5,1
Q96HQ2,Q9NYF8,1
P29353,Q16531,1
P13612,Q14152,1
Q8WYQ5,Q9BUJ2,1
P15880,P35711,1
Q9BYD3,Q9UKB1,1
O00159,P29353,1
P07711,P09668,1
P49792,Q13123,1
O75436,P33993,1
Q13011,Q9BUJ2,1
O14777,Q8N0Z3,1
Q00987,Q9Y2K1,1
O15355,P49589,1
O14980,P46777,1
P54725,Q8IWJ2,1
Q01844,Q9UBS0,1
P60174,Q8WUM4,1
O95793,P55795,1
P54259,Q08117,1
P01137,Q9BTC8,1
O15031,Q9NRD1,1
Q86U86,Q9P2D1,1
P16104,Q53FA7,1
Q01844,Q07666,1
P26599,Q86VP6,1
Q16610,Q9P2P5,1
Q9GZT8,Q9UK41,1
P51668,Q9C0B0,1
Q8TAP6,Q9Y520,1
Q08379,Q8IY31,1
P52434,Q9Y230,1
P09622,Q9Y697,1
P53350,Q14011,1
O94776,P04150,1
P05412,Q2NL82,1
P67809,Q14157,1
P29350,P40189,1
P25205,Q9H0W5,1
P26368,Q13616,1
O94761,Q09472,1
O43251,P48634,1
O43707,Q9UQL6,1
Q07817,Q96N67,1
Q8WUM4,Q96J02,1
P08559,P19838,1
P24539,P49257,1
P62241,Q9NX20,1
O75928,Q9H444,1
P32969,Q8TAP6,1
Q02878,Q13601,1
P31946,Q9P2F8,1
P41214,P61964,1
P07437,Q8TAP6,1
O14980,Q8NHG8,1
P28066,Q14318,1
Q6ZU80,Q9NRW7,1
O60231,Q96PZ0,1
P41227,P85037,1
O95602,P32969,1
P12931,Q92793,1
O75376,P51531,1
P35240,Q9Y5B9,1
Q9NZW5,Q9Y234,1
Q01167,Q9Y5Q9,1
P38432,Q8TBB1,1
P04406,Q96C86,1
Q15717,Q86VI3,1
Q14558,Q96T76,1
P49736,Q9NYY8,1
P29692,Q969P0,1
Q5JTD0,Q9H081,1
P61224,Q9BRK5,1
Q9UKV8,Q9Y265,1
Q15233,Q96ST3,1
P62820,Q96M27,1
P23396,Q13043,1
Q15717,Q9P2D3,1
P62834,Q96EB6,1
O95816,Q9P2K8,1
P07195,P33552,1
O43865,Q96K21,1
Q13573,Q14839,1
Q567U6,Q8TCE6,1
P00338,Q8IZH2,1
P49750,Q99459,1
Q562R1,Q6ZS17,1
P48552,Q13547,1
P28340,Q9HAU5,1
Q13618,Q8NHY2,1
P35749,Q9UER7,1
P12259,Q9H0W5,1
Q15599,Q3MHD2,1
O75376,Q99459,1
O00418,Q96S44,1
Q05397,Q9ULH1,1
Q16821,Q4KMQ1,1
P52701,Q13315,1
P05161,P13797,1
P78347,Q6EKJ0,1
O14980,Q9NPI6,1
O75400,Q15911,1
P46531,Q9NNW5,1
Q9H8H0,Q9UKB1,1
Q8IXZ2,Q9NR30,1
P06400,Q9UJU2,1
P05387,P18077,1
P61019,Q8N137,1
Q86VQ0,Q9C0F1,1
Q15366,Q96J02,1
P15923,P26373,1
P24522,P40763,1
P06748,P09382,1
P16104,P22626,1
P24588,Q13523,1
Q13438,Q96CS3,1
Q9NVX0,Q9UBU9,1
P42677,P62913,1
P60520,Q14683,1
P51858,Q13185,1
P52292,Q9NWA0,1
O15145,O75147,1
Q01581,Q9NZD8,1
P47755,P68133,1
O14745,P63104,1
P14618,Q9Y303,1
Q13322,Q9Y4H2,1
Q9H0S4,Q9UPV0,1
O60341,Q86Y37,1
P56537,Q02880,1
Q96B97,Q9NVA2,1
Q15058,Q49A88,1
O43683,Q15149,1
O00193,P52788,1
P33991,Q13451,1
Q5VZL5,Q7Z3K3,1
O14656,Q9UK22,1
P22670,Q9UKT7,1
O43865,Q14166,1
O94826,Q08211,1
P31946,P47974,1
P20042,Q9Y3B2,1
P13804,Q9NPD3,1
Q15910,Q9NYL2,1
P21980,P40337,1
O75446,Q9H7L9,1
Q13107,Q8WWY3,1
Q9NQ50,Q9P015,1
P28065,Q15788,1
P05423,Q99729,1
P54577,Q99523,1
P47755,Q9NYL9,1
P09651,P55345,1
Q9BVJ6,Q9NV06,1
P09874,P35269,1
P20340,P40337,1
P30520,Q9NRN7,1
P28065,P35998,1
O96028,Q13263,1
P23025,Q13315,1
O14777,Q14203,1
Q15560,Q5QP82,1
O75436,Q9P0K7,1
P13010,P32121,1
Q5T653,Q99613,1
P27635,Q99575,1
O14744,Q5VVJ2,1
Q9NZI8,Q9Y297,1
P15153,Q9NRD1,1
Q15046,Q16513,1
P16403,Q8IXZ2,1
P60228,Q9Y6Q9,1
P08670,Q8N0X7,1
P40227,Q9UH92,1
O15355,Q9UHX1,1
Q13190,Q86Y82,1
O14745,Q9C0B1,1
Q8NEY8,Q9UBU9,1
Q15022,Q9HCN8,1
O75533,Q6P2Q9,1
P78362,Q9BRD0,1
P08238,Q6JEL2,1
P82650,Q14CZ7,1
Q96PU8,Q9NX70,1
P09104,Q96C19,1
O15234,Q14790,1
P78318,Q01844,1
P07384,P17661,1
Q15274,Q15459,1
P26373,P39023,1
Q12962,Q9Y5Q8,1
O43639,Q96SB4,1
P04792,P26639,1
O14980,Q5W0V3,1
Q96DT7,Q9UF56,1
P34897,P57679,1
Q9H5H4,Q9P2Y5,1
P61247,Q9UL18,1
Q86V48,Q86VQ0,1
P62256,Q9Y3C8,1
O14810,Q6RW13,1
Q562E7,Q9HCE1,1
Q92905,Q9NPC7,1
P52597,Q07955,1
P49674,Q9UPN4,1
P55209,Q9UHD1,1
P23025,Q9NS23,1
O00567,Q9Y3U8,1
O75909,Q9Y3Q8,1
P98170,Q5BKX5,1
Q00839,Q5SSJ5,1
O75380,Q96EF6,1
P13984,Q8WW35,1
P19838,P42858,1
Q9H7E9,Q9HCE1,1
Q16836,Q9HCE1,1
Q14197,Q9NYY8,1
P13010,Q8N6T7,1
Q13309,Q9UIM3,1
O95292,Q8WYP5,1
P06400,Q9UJX6,1
Q8WVZ9,Q9BYG5,1
Q8TAF3,Q96J02,1
P61247,Q9UKV8,1
O75477,Q96CS3,1
Q06210,Q8N6T7,1
Q14004,Q6XUX3,1
O43318,O43734,1
Q4J6C6,Q9H9P5,1
P35613,P50579,1
Q8N6H7,Q99816,1
P25208,Q6RW13,1
P21283,P30153,1
P25787,Q9Y4K3,1
P14678,Q7Z6Z7,1
Q13148,Q15717,1
Q9H0R8,Q9NS23,1
P05412,P22087,1
P08238,Q7Z6Z7,1
O00159,Q9Y6N5,1
P38432,Q16719,1
P42766,P62633,1
Q01850,Q7Z3B3,1
P62266,Q969P0,1
P13591,Q9UHK0,1
Q13868,Q9HAU5,1
Q5QJE6,Q9BYG3,1
P40337,Q15365,1
P50454,Q9NRR5,1
A5D8V6,Q9BUJ2,1
P27986,Q13322,1
P15311,Q14651,1
Q14103,Q16222,1
Q15717,Q9HBM0,1
O60341,Q9BRX9,1
O00299,P36873,1
P49454,Q7L5N1,1
P61011,Q13426,1
P49736,P56192,1
P61758,Q15742,1
Q641Q2,Q9BRP4,1
Q14152,Q9Y6I4,1
P25205,P27695,1
P51617,Q9UJS0,1
P82664,Q9UBU9,1
P10412,P49736,1
Q13907,Q99728,1
O14641,Q86VQ0,1
P31947,Q08AE8,1
P29474,Q8TAG9,1
P07814,Q9UQL6,1
Q5VUA4,Q8ND90,1
Q8IUD2,Q9NZM3,1
Q16659,Q9UJ83,1
P08590,P27348,1
O95861,Q6ICL3,1
P00519,Q71SY5,1
P62140,Q07666,1
Q13200,Q9C0C7,1
Q8NBS9,Q9NXH9,1
O75643,P33992,1
P46778,Q9UQ80,1
P36897,Q9NYL2,1
O95817,Q9Y2Z0,1
Q96Q11,Q9Y3L3,1
P38432,P55072,1
P19838,Q13885,1
P05412,Q14934,1
P46087,P62701,1
O96006,P21281,1
P27635,Q15477,1
O75663,Q9H4A6,1
Q3ZCQ8,Q504Q3,1
Q07955,Q2TAY7,1
P31947,Q14153,1
O60678,Q9UNN5,1
P02751,Q9BV40,1
P13612,P62701,1
Q13573,Q9Y6D9,1
O14744,Q9H9G7,1
P63167,Q9UBW7,1
P68431,Q9UIV1,1
Q7Z7A1,Q969S3,1
P29692,Q86UP2,1
P18583,Q01081,1
P04908,Q9H223,1
Q6PCB5,Q96JC9,1
P24588,Q8N6M0,1
P23526,Q96BK5,1
P55072,P62241,1
Q7Z7A1,Q9Y4L1,1
P38919,Q9NRD1,1
P12004,P33991,1
Q99459,Q9NPF5,1
O00410,Q9NRD1,1
P62158,Q9NR30,1
Q00534,Q7L590,1
P62820,Q8NBN7,1
P29218,Q9HB40,1
P33316,Q96EP5,1
O00410,Q86VQ0,1
O15294,Q9UBL3,1
P58546,Q04206,1
P51668,Q9P2N7,1
Q7Z4H7,Q7Z7A1,1
O14965,Q96DF8,1
P17482,Q92793,1
P46379,Q6BDS2,1
Q4J6C6,Q5T160,1
P02649,P32119,1
P32121,P52907,1
P30307,Q9H4B4,1
O94905,Q86WK6,1
P00966,P43490,1
P17050,Q9NRD1,1
P23610,P42858,1
P11021,P31947,1
P51587,Q13535,1
P84103,Q9NX70,1
P68400,Q6VY07,1
P24522,Q8TAE8,1
P11940,Q9UKM9,1
A3KN83,P49756,1
O76064,P08865,1
O75340,P53367,1
Q9NVH2,Q9NVR2,1
P37837,Q9UKY1,1
P05455,P42696,1
P04083,Q9P2P5,1
P17174,Q8WUM4,1
O60506,P46013,1
O14777,Q9NXR1,1
Q2NKX8,Q8TDY2,1
Q96PM5,Q9HCK8,1
Q5JTH9,Q9Y2X3,1
Q99714,Q9BQ52,1
P68366,Q9H0K1,1
O60907,Q13363,1
P31749,Q969P0,1
P46527,P63104,1
P54920,Q7Z478,1
O43521,P10644,1
P19525,Q9P2P5,1
Q7Z2K8,Q9Y2X9,1
P15927,P51948,1
P05783,Q15834,1
O94921,P11387,1
Q92734,Q92905,1
P68431,Q9NYF8,1
P17252,Q13393,1
Q6NUQ1,Q9BQ89,1
P06703,Q00987,1
P37235,Q8N5S1,1
Q6UWE0,Q9UK80,1
Q13616,Q14185,1
O14810,Q9BRX5,1
P61981,Q05513,1
Q6IA69,Q9UNE7,1
P46379,Q7Z7A1,1
P05387,Q9Y6K9,1
P11413,Q13404,1
P20618,Q6XUX3,1
P27694,Q13813,1
O14964,P84022,1
P05771,P08238,1
P51948,P68104,1
P31942,Q9NVX2,1
P09651,P25788,1
P22102,P49736,1
Q13620,Q93009,1
Q8N983,Q96RE7,1
J3KNL6,Q13492,1
Q09161,Q15637,1
Q14839,Q96EZ8,1
P36578,P62258,1
Q8TCG1,Q9UBU9,1
P55211,Q13418,1
Q06330,Q13112,1
Q13895,Q9BYV2,1
P09234,Q12874,1
O43818,O75147,1
Q9GZL7,Q9NUU7,1
P02768,P02786,1
P09972,P37802,1
P10599,P40337,1
O43172,Q9UBC2,1
O43791,O60684,1
P34932,Q9BSM1,1
O00178,P55769,1
Q12849,Q7Z2W9,1
O15259,P11182,1
P07900,Q92598,1
P18077,P62263,1
Q7Z6Z7,Q9Y678,1
P10244,Q969S3,1
Q9NRR5,Q9UBU9,1
P63104,Q9H0K1,1
O95684,Q9Y2I6,1
O14964,Q53EZ4,1
P55039,Q8NHQ9,1
O75147,P50454,1
Q7Z7A3,Q8NBR6,1
P27695,P52926,1
P07900,P39023,1
Q8WVV4,Q9BSU1,1
O75147,Q9NY93,1
P29474,Q9Y3B2,1
O75147,Q92973,1
O95644,Q96A08,1
P07437,P26368,1
P63000,Q9H9P5,1
P62136,Q9Y294,1
Q8WWN8,Q96B97,1
P62714,Q96BV0,1
P62277,Q93034,1
P25490,Q8IZD2,1
P00167,P99999,1
P11142,P78527,1
P35613,P42345,1
P39687,Q15365,1
O94925,Q9BYD3,1
Q92733,Q9Y333,1
P11021,P67809,1
P22626,Q9H422,1
Q8N350,Q9UKB1,1
Q8N2W9,Q96KM6,1
Q6P1S2,Q9BQ90,1
P06748,Q86YF9,1
P61758,Q14166,1
P52294,Q9HBD4,1
P55884,Q00987,1
P20339,Q9UL26,1
P62136,Q00987,1
Q96RQ3,Q99496,1
P17098,Q9UBU9,1
O75152,Q13148,1
Q6SPF0,Q96B97,1
P41229,P84022,1
Q15797,Q92830,1
O15514,Q9BTT4,1
P61201,Q9H4G0,1
P19338,P27986,1
O75821,Q13573,1
P04150,P23246,1
P52597,Q9UKB1,1
P50991,Q96EE3,1
O60437,P09651,1
O95997,P16885,1
P06744,P30038,1
P42566,Q9NVZ3,1
O43252,P17655,1
Q8NI22,Q96P20,1
P26038,P48637,1
P40939,Q14197,1
O95208,Q15311,1
P60520,Q92804,1
P41229,Q92610,1
P08397,Q96S59,1
Q13625,Q8N5M1,1
O43633,Q9NP79,1
P51858,P62314,1
P31946,Q6Y7W6,1
Q4G0J3,Q8IY92,1
O94992,P10809,1
Q92905,Q9UBL6,1
O43143,Q13243,1
P35251,P46531,1
P07686,Q9NRD1,1
P51858,Q08945,1
O43172,Q86TB9,1
O95989,P13056,1
Q96IZ0,Q96TA1,1
P05412,P11177,1
P33240,Q9H0L4,1
Q75N03,Q99496,1
P68363,P78362,1
Q14103,Q99615,1
P15408,P29692,1
