Protein A,Protein B,Publications
O14818,P25787,9
P36873,Q12972,9
Q13191,Q96B97,9
Q6PD62,Q8WVC0,9
P55072,Q96CS3,9
Q99627,Q9UNS2,9
O43734,Q9Y4K3,9
P21580,Q9Y4K3,9
Q9BZI7,Q9Y5S9,9
P45973,P68431,9
O94782,Q8TAF3,9
P51610,Q92560,9
Q6PD62,Q8N7H5,9
O00220,Q14790,9
P04049,Q04917,9
O14920,O43318,9
Q13868,Q9NQT5,9
Q12933,Q92844,9
P55072,Q8TAT6,9
P00519,P62993,9
P61964,Q9P0U4,9
Q7L5N1,Q9BT78,9
Q9BUL8,Q9Y6E0,9
P07900,P53041,9
O43684,Q12834,9
P30281,P46527,9
P12004,Q15054,9
P12004,P26358,9
O15047,P61964,9
O43791,Q13618,9
P54725,P55036,9
P20936,Q99704,9
P46940,P60953,9
P68431,Q09028,9
P68431,Q9NVP2,9
P35221,P35222,9
O43929,Q13416,9
Q96EP0,Q9Y6K9,9
P09874,P13010,9
P50750,Q9UHB7,9
O75182,Q13547,9
P04908,Q09472,8
P51668,P98170,8
Q96G25,Q9BTT4,8
P12004,Q9H211,8
P04792,P49137,8
Q04206,Q15653,8
P34932,Q16665,8
Q08999,Q16254,8
P25205,P33993,8
O15371,Q14152,8
P29353,Q07889,8
P27540,P35869,8
O95630,P62993,8
P42224,Q09472,8
P35249,P40937,8
O15169,P25054,8
O95347,Q15003,8
Q96H20,Q9BRG1,8
Q13098,Q99627,8
P27986,P29353,8
Q9BTT4,Q9P086,8
O14733,P45983,8
P01116,P04049,8
P62191,P62195,8
Q92466,Q92905,8
P30153,P62714,8
P29590,Q00987,8
P25787,P28070,8
Q13620,Q92905,8
P45973,Q13111,8
P13010,Q14191,8
P23443,Q8N122,8
P04049,P62258,8
O95983,Q8WXI9,8
P45985,Q13233,8
Q15631,Q99598,8
P49336,Q9NVC6,8
O00506,Q9BUL8,8
P49336,Q9BTT4,8
Q9UHA4,Q9Y2Q5,8
Q8N3U4,Q9UQE7,8
O14497,Q969G3,8
P41743,Q13501,8
A0JLT2,Q9BTT4,8
Q9BTT4,Q9NPJ6,8
P25786,P49721,8
O94776,O95983,8
P07900,Q00613,8
O95347,Q9NTJ3,8
P35222,Q9NSA3,8
P35249,P35250,8
P62993,Q13191,8
P12004,Q13111,8
P42773,Q00534,8
O00487,Q99460,8
P46531,Q92585,8
Q14457,Q9C0C7,8
O94776,Q14839,8
P11717,Q9NZ52,8
O60934,P16104,8
P61201,Q9UBW8,8
O43741,Q13131,8
P46527,Q92905,8
Q04206,Q8N668,8
O14964,O75886,8
Q99627,Q9UBW8,8
P51531,Q12824,8
P25786,P25789,8
Q15291,Q9P0U4,8
