Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
GNAS,0.9999,0.8544,0.8774,0.7384,0.6201,0.2485,0.1504,0.0707,0.0244,0.0168,0.0
GNB4,0.9999,1.0138,0.9808,0.7581,0.7287,0.3343,0.1583,0.056,0.0404,0.0341,0.0
GNG12,0.9999,1.0605,0.9517,0.6761,0.6813,0.3278,0.2277,0.1619,0.1027,0.0817,0.0
GNL3,0.9999,0.7492,0.2439,0.1128,0.0817,0.0541,0.0365,0.0284,0.0184,0.0132,0.0
GOLPH3L,0.9999,0.9161,0.6329,0.1735,0.1103,0.0738,0.0423,0.0195,0.0178,0.0156,0.0
GPSM3,0.9999,1.0074,0.9709,0.9212,0.9243,0.8369,0.5024,0.2854,0.2298,0.1071,0.0
GRN,0.9999,0.9973,0.8285,0.891,0.768,0.8932,0.7129,0.7756,0.7928,0.5606,0.0
GTF2H1,0.9999,0.9508,0.7052,0.476,0.2277,0.1284,0.1079,0.0827,0.0698,0.0399,0.0
GTF2H2|GTF2H2C,0.9999,1.0399,0.7942,0.6098,0.502,0.303,0.093,0.0717,0.0507,0.043,0.0
GTF3A,0.9999,1.0313,1.0198,0.7912,0.3496,0.0623,0.0224,0.0233,0.0029,0.0018,0.0
GTF3C1,0.9999,0.7781,0.5165,0.3675,0.3012,0.2352,0.1528,0.1293,0.109,0.0808,0.0
GTF3C3,0.9999,0.9349,0.3755,0.216,0.1537,0.0746,0.0522,0.0319,0.01,0.0081,0.0
GTSE1,0.9999,0.7753,0.4358,0.2256,0.145,0.1022,0.0472,0.0256,0.0244,0.0257,0.0
HABP2,0.9999,0.9475,1.0603,1.1463,0.9863,0.7055,0.1638,0.019,0.0363,0.0082,0.0
HAUS8,0.9999,0.931,0.7483,0.1551,0.0923,0.0633,0.0566,0.0413,0.0436,0.0279,0.0
HBD,0.9999,0.9816,1.008,1.2944,1.4917,1.0727,1.126,1.0281,0.462,0.4284,0.0
HDAC5,0.9999,0.8472,0.6149,0.3339,0.2243,0.097,0.0525,0.0367,0.0344,0.0174,0.0
HELZ,0.9999,1.0241,0.9445,0.6894,0.5501,0.2505,0.1129,0.1108,0.0923,0.0348,0.0
HHEX,0.9999,0.9215,0.8424,0.6903,0.6489,0.3609,0.2756,0.2069,0.1478,0.0954,0.0
HIST1H1E,0.9999,1.191,0.8543,0.4921,0.2941,0.1655,0.1763,0.0591,0.0446,0.0426,0.0
HIST1H3A|HIST3H3|HIST2H3A,0.9999,0.9018,0.8514,0.4981,0.0788,0.0039,0.0,0.0027,0.0049,0.0062,0.0
HIST3H2BB,0.9999,1.097,0.8966,0.5826,0.3743,0.2146,0.1256,0.0837,0.0678,0.0379,0.0
HNRNPA0,0.9999,1.0545,0.7778,0.3887,0.2365,0.1117,0.05,0.0218,0.0176,0.0125,0.0
HNRNPA3,0.9999,0.8451,0.8369,0.7581,0.6284,0.1552,0.1178,0.0697,0.0393,0.0542,0.0
HNRNPC,0.9999,1.0467,1.0285,0.7657,0.5927,0.1415,0.0959,0.0594,0.0532,0.0458,0.0
HNRNPH2,0.9999,0.9196,0.2476,0.0073,0.0,0.0028,0.0066,0.0064,0.0082,0.0031,0.0
HPGD,0.9999,0.8511,0.9346,0.9551,0.5962,0.3425,0.1253,0.1893,0.1079,0.0964,0.0
HPS5,0.9999,1.0073,0.6332,0.1968,0.1247,0.0789,0.055,0.053,0.0206,0.0158,0.0
ID1,0.9999,0.7624,0.8133,0.4678,0.2807,0.2443,0.1513,0.1579,0.0981,0.1085,0.0
IFT20,0.9999,0.6422,0.5225,0.2809,0.22,0.2008,0.1219,0.0985,0.013,0.018,0.0
ING4,0.9999,1.0777,0.937,0.8335,0.6391,0.4119,0.2854,0.1677,0.1454,0.0596,0.0
INTS5,0.9999,0.7876,0.7405,0.6137,0.5836,0.2008,0.2405,0.1839,0.0944,0.0692,0.0
IRF3,0.9999,0.8984,1.0541,0.7834,0.7896,0.3332,0.1013,0.1158,0.0146,0.0147,0.0
IRF9,0.9999,0.7988,0.5015,0.2586,0.1512,0.1132,0.0718,0.0696,0.0496,0.0305,0.0
ISG15,0.9999,0.8574,0.8416,0.6795,0.2928,0.14,0.0948,0.0674,0.0464,0.0303,0.0
ISL1|ISL2,0.9999,1.0293,0.8991,0.8025,0.5352,0.2708,0.1575,0.1015,0.0871,0.0333,0.0
ITCH,0.9999,0.9797,0.8613,0.6167,0.1344,0.045,0.0228,0.0215,0.0263,0.0246,0.0
KATNAL1,0.9999,0.9476,0.8958,0.7448,0.34,0.1191,0.0554,0.0333,0.0142,0.015,0.0
KBTBD4,0.9999,0.998,0.9512,1.0117,0.8151,0.4718,0.2519,0.1106,0.0467,0.0247,0.0
KCTD1,0.9999,0.8374,0.8839,0.9875,0.9611,0.7405,0.7176,0.5878,0.2808,0.0428,0.0
KCTD15,0.9999,0.9655,0.8984,0.9338,0.8559,0.6955,0.5379,0.3607,0.2553,0.0857,0.0
KCTD20,0.9999,0.8177,0.652,0.3378,0.193,0.1397,0.0534,0.0367,0.0325,0.0142,0.0
KIAA0226,0.9999,0.839,0.5346,0.2253,0.1317,0.0718,0.0632,0.0554,0.0282,0.0209,0.0
KIAA1522,0.9999,0.9058,0.9141,0.7539,0.7258,0.3286,0.2457,0.2655,0.2558,0.0922,0.0
KIF21B,0.9999,0.8586,0.8238,0.5143,0.2378,0.1748,0.0877,0.0709,0.0538,0.0321,0.0
KIZ,0.9999,0.8888,0.5703,0.4256,0.4268,0.3528,0.2734,0.2508,0.1375,0.1535,0.0
KLHDC8B,0.9999,1.0123,0.9508,0.8303,0.5912,0.3198,0.1799,0.1029,0.0899,0.0618,0.0
KLHL11,0.9999,0.9083,0.8335,0.7435,0.3856,0.0852,0.0192,0.0129,0.0103,0.0084,0.0
KMT2A,0.9999,0.778,0.8184,0.5253,0.3757,0.2822,0.1964,0.1405,0.1098,0.1225,0.0
KMT2C,0.9999,1.1125,1.2619,1.2987,1.1222,0.8061,0.436,0.0937,0.0855,0.0135,0.0
KPNA2,0.9999,0.8867,0.3974,0.0901,0.0362,0.025,0.0173,0.0173,0.0084,0.0055,0.0
KYNU,0.9999,0.9217,0.9469,1.0353,0.9827,0.8902,0.7732,0.6597,0.498,0.1813,0.0
LDHAL6A,0.9999,0.9947,1.1972,1.1007,1.1313,0.8369,0.9256,0.9763,0.5514,0.196,0.0
LENG1,0.9999,1.1092,0.9655,0.6773,0.7422,0.6526,0.3049,0.256,0.3134,0.1732,0.0
LEPRE1,0.9999,1.0172,0.8496,0.6478,0.3574,0.2375,0.2492,0.182,0.0921,0.0239,0.0
LGALS3BP,0.9999,0.9872,1.0727,0.8692,1.0188,0.5397,0.3665,0.3425,0.3231,0.1843,0.0
LIN54,0.9999,0.8017,0.5729,0.3061,0.1789,0.1224,0.0655,0.0836,0.0397,0.0516,0.0
LIN7C,0.9999,1.0908,1.0382,0.8663,0.7643,0.4936,0.2582,0.1605,0.0928,0.0665,0.0
LMTK2,0.9999,0.9737,1.051,0.8914,0.8513,0.7204,0.3962,0.3339,0.1742,0.0751,0.0
LNPEP,0.9999,1.0582,1.0146,0.9819,1.1454,0.5874,0.6144,0.3873,0.2262,0.1344,0.0
LOC101928524|PRPF18,0.9999,0.8201,0.6792,0.4272,0.4071,0.2131,0.1782,0.0947,0.0695,0.0371,0.0
LRRC42,0.9999,0.936,0.7808,0.4827,0.2968,0.159,0.1346,0.0746,0.0401,0.0296,0.0
LSM11,0.9999,0.9702,0.6764,0.757,0.9195,0.572,0.4954,0.5834,0.2497,0.055,0.0
LTBP4,0.9999,0.7205,0.6779,0.688,0.4314,0.5664,0.6558,0.5679,0.6057,0.5407,0.0
LYSMD1,0.9999,0.8563,0.8212,0.7367,0.5594,0.2891,0.1695,0.169,0.0643,0.037,0.0
MAGEB2,0.9999,1.1595,1.3255,0.9981,0.7199,0.3585,0.4163,0.263,0.2408,0.0892,0.0
MAGED1,0.9999,0.8343,0.6089,0.4929,0.4755,0.3561,0.2598,0.2511,0.1881,0.1745,0.0
