Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
DR1,0.9999,1.0795,0.9582,0.9255,0.8881,0.7374,0.3801,0.2516,0.1167,0.0641,0.0
DRAP1,0.9999,0.8498,0.9151,0.9437,1.1631,0.7014,0.5745,0.3755,0.0885,0.0426,0.0
DRD2|TLE2,0.9999,0.9569,0.9264,0.795,0.5558,0.3991,0.346,0.2413,0.1104,0.0297,0.0
DRG1,0.9999,0.9883,0.9771,0.9015,0.7737,0.502,0.2095,0.0686,0.028,0.0092,0.0
DRG2,0.9999,0.9236,0.9516,0.9964,0.7389,0.3542,0.0522,0.0192,0.0167,0.0088,0.0
DSCC1,0.9999,0.8483,0.5892,0.2218,0.0945,0.0614,0.0321,0.0332,0.0188,0.0057,0.0
DSG2,0.9999,0.9069,0.9659,0.733,0.7446,0.5993,0.3886,0.1813,0.1127,0.0429,0.0
DSN1,0.9999,0.6974,0.6169,0.5593,0.1058,0.0283,0.0111,0.0134,0.0059,0.0098,0.0
DSP,0.9999,1.0012,0.9319,0.8453,0.4198,0.0759,0.026,0.0288,0.0176,0.004,0.0
DSTN,0.9999,1.0203,1.0464,1.0433,0.7799,0.5159,0.1428,0.0657,0.0471,0.0351,0.0
DSTYK,0.9999,0.9421,0.8066,0.5296,0.2528,0.1421,0.1356,0.1142,0.0697,0.0534,0.0
DTD1,0.9999,0.89,0.9001,0.8665,0.9012,0.7626,0.6466,0.5951,0.4411,0.3787,0.0
DTD2,0.9999,0.8904,0.8418,0.7851,0.6639,0.4764,0.3598,0.3195,0.1427,0.0594,0.0
DTL,0.9999,0.8149,0.6142,0.4495,0.2844,0.0742,0.0091,0.0064,0.0147,0.01,0.0
DTNBP1,0.9999,0.9923,0.9867,0.8319,0.6664,0.5567,0.2879,0.127,0.0674,0.0284,0.0
DTYMK,0.9999,1.0338,0.9922,1.1108,1.085,0.8495,0.5848,0.2507,0.0305,0.0191,0.0
DUS1L,0.9999,0.8916,0.7115,0.5147,0.2508,0.1482,0.0797,0.0739,0.0421,0.0366,0.0
DUS2,0.9999,1.018,1.0196,0.8788,0.5891,0.2705,0.103,0.0847,0.0468,0.0253,0.0
DUS3L,0.9999,0.9939,0.9432,0.7718,0.4933,0.2711,0.1895,0.1477,0.092,0.0399,0.0
DUS4L,0.9999,0.8888,0.9497,0.9312,0.8618,0.7243,0.6041,0.4794,0.182,0.0781,0.0
DUSP14,0.9999,0.8655,0.8814,0.558,0.3793,0.2585,0.1825,0.1573,0.0812,0.0397,0.0
DUSP23,0.9999,1.0732,1.0801,1.0349,0.8405,0.6987,0.328,0.1474,0.0646,0.0454,0.0
DUSP3,0.9999,1.0227,1.0545,1.0904,0.7439,0.2557,0.0993,0.0817,0.032,0.0047,0.0
DUT,0.9999,1.1359,1.1627,1.1461,1.2094,0.7804,0.2563,0.1706,0.0917,0.0579,0.0
DXO,0.9999,0.9346,0.9401,0.7898,0.6282,0.2507,0.098,0.0568,0.0441,0.011,0.0
DYM,0.9999,0.8987,0.8147,0.7608,0.3742,0.1336,0.1024,0.1162,0.0336,0.0085,0.0
DYNC1H1,0.9999,1.0081,0.8481,0.7812,0.7381,0.1577,0.064,0.0551,0.0412,0.0253,0.0
DYNC1I2,0.9999,1.002,0.9714,0.8716,0.8036,0.5813,0.4346,0.2125,0.0434,0.0043,0.0
DYNC1LI1,0.9999,0.9241,0.8734,0.814,0.7938,0.2271,0.124,0.0569,0.0399,0.0297,0.0
DYNC1LI2,0.9999,0.9253,0.9006,0.7082,0.544,0.2121,0.127,0.1438,0.0623,0.029,0.0
EAF2|EAF1,0.9999,1.1498,0.9611,0.4699,0.354,0.2779,0.3146,0.3603,0.4038,0.3038,0.0
EARS2,0.9999,1.0794,1.0784,0.5285,0.1639,0.1059,0.0818,0.097,0.0988,0.073,0.0
ECD,0.9999,0.8851,0.7147,0.4439,0.1974,0.1129,0.069,0.0457,0.0174,0.0126,0.0
ECH1,0.9999,1.2244,1.3713,1.35,1.1002,1.0322,0.0529,0.0318,0.0512,0.0169,0.0
ECHDC1,0.9999,0.9538,1.0198,0.9528,0.9641,0.8539,0.7797,0.7014,0.5637,0.4555,0.0
ECHDC3,0.9999,0.8232,1.0392,1.1853,1.1697,0.4437,0.1775,0.1301,0.0429,0.01,0.0
ECHS1,0.9999,1.106,1.2303,1.3376,1.5365,0.668,0.0838,0.0795,0.0617,0.0516,0.0
ECI1,0.9999,1.0991,1.2304,1.3251,1.3777,1.3249,1.185,1.0796,0.9687,0.8795,0.0
ECI2,0.9999,1.1341,1.2659,1.2393,1.246,0.621,0.2583,0.1539,0.0462,0.0135,0.0
ECM1,0.9999,0.9911,1.0068,0.8911,0.7556,0.5699,0.4557,0.3243,0.325,0.2379,0.0
EDARADD,0.9999,1.2734,1.0572,0.8336,0.8484,0.6623,0.3495,0.3234,0.1312,0.0398,0.0
EDC3,0.9999,0.902,0.7199,0.4587,0.235,0.162,0.0977,0.0789,0.0756,0.056,0.0
EDC4,0.9999,0.8258,0.9109,0.6878,0.4241,0.1509,0.0828,0.0787,0.0411,0.0281,0.0
EDEM3,0.9999,1.0218,1.3068,0.9526,0.7375,0.4507,0.3217,0.5967,0.0315,0.1085,0.0
EDF1,0.9999,1.2334,1.0963,1.0825,0.7844,0.8378,0.5024,0.4199,0.9988,0.4219,0.0
EEA1,0.9999,1.0012,1.0521,1.0113,0.9591,0.9453,0.6993,0.7068,0.5453,0.6016,0.0
EED,0.9999,1.006,0.9119,1.0557,0.7077,0.1993,0.1039,0.0748,0.046,0.0086,0.0
EEF1A1,0.9999,0.9735,0.9692,0.977,0.7958,0.5074,0.1449,0.0444,0.0204,0.0113,0.0
EEF1A2,0.9999,0.973,0.9652,1.1346,0.9867,0.8234,0.6641,0.3853,0.084,0.0169,0.0
EEF1B2,0.9999,1.044,0.9723,0.8892,0.4648,0.0461,0.0254,0.0213,0.0123,0.039,0.0
EEF1D,0.9999,0.9164,0.8933,0.8038,0.4667,0.1075,0.0546,0.0461,0.0343,0.0234,0.0
EEF1G,0.9999,0.9292,0.928,0.8855,0.4315,0.0742,0.0446,0.0311,0.0202,0.0132,0.0
EEF2,0.9999,1.0048,0.9342,0.8373,0.9229,0.877,0.7639,0.4902,0.0636,0.0284,0.0
EEF2K,0.9999,0.9754,0.5448,0.079,0.0661,0.0371,0.0315,0.0258,0.0198,0.0112,0.0
EEFSEC,0.9999,0.9179,0.8051,0.6104,0.1438,0.0365,0.0201,0.021,0.0145,0.0102,0.0
EFHD2,0.9999,1.027,1.0403,0.9976,0.8387,0.3788,0.0874,0.0423,0.0259,0.0175,0.0
EFTUD1,0.9999,1.0636,1.0878,0.8576,0.2756,0.0656,0.0359,0.0338,0.0273,0.0122,0.0
EFTUD2,0.9999,0.9635,0.9101,0.8716,1.1512,1.4894,1.6195,1.261,0.1697,0.0421,0.0
EHBP1,0.9999,0.9383,0.7769,0.2329,0.0866,0.0736,0.0367,0.034,0.0225,0.0152,0.0
EHBP1L1,0.9999,0.9214,0.8483,0.3879,0.136,0.0958,0.0764,0.0472,0.0388,0.0254,0.0
EHD1,0.9999,0.9688,0.9854,0.9538,0.7723,0.2951,0.0756,0.0617,0.0399,0.0168,0.0
EHD2,0.9999,0.9629,0.9066,0.739,0.2806,0.0429,0.0321,0.0328,0.0219,0.0058,0.0
EHD4,0.9999,0.9149,0.9071,0.8944,0.5737,0.1284,0.0548,0.0445,0.03,0.0248,0.0
EHMT1,0.9999,0.9108,0.796,0.4403,0.1639,0.0585,0.0369,0.0371,0.0197,0.0298,0.0
EHMT2,0.9999,0.8405,0.6968,0.5249,0.2906,0.1742,0.1628,0.1393,0.1264,0.068,0.0
EIF1,0.9999,1.0103,1.0,1.0605,1.0707,0.8884,0.7014,0.5427,0.2715,0.1633,0.0
EIF1AD,0.9999,1.0141,1.0624,1.0491,0.9355,0.686,0.4818,0.3634,0.2147,0.19,0.0
EIF1AY|EIF1AX,0.9999,1.0825,1.0779,0.9898,0.7611,0.4484,0.3287,0.1241,0.0748,0.0361,0.0
EIF2A,0.9999,0.9743,0.9835,0.9414,0.8199,0.4241,0.1285,0.0648,0.0262,0.0174,0.0
EIF2AK1,0.9999,0.9661,0.9597,0.8362,0.5824,0.3856,0.0447,0.0066,0.0037,0.0005,0.0
EIF2AK4,0.9999,1.0057,0.8671,0.5643,0.2188,0.1614,0.134,0.1043,0.1123,0.0769,0.0
EIF2B1,0.9999,0.9502,0.9058,0.9694,0.9591,0.9264,0.7874,0.3869,0.0414,0.0193,0.0
EIF2B2,0.9999,0.8541,0.8217,0.7147,0.6837,0.951,0.2481,0.1232,0.0783,0.0324,0.0
EIF2B3,0.9999,0.9093,0.7446,0.5374,0.4577,0.1392,0.0609,0.0415,0.0213,0.0137,0.0
EIF2B4,0.9999,1.4721,0.9353,0.8541,0.7555,0.1759,0.0671,0.0511,0.0337,0.0078,0.0
EIF2B5,0.9999,1.0573,0.937,0.8595,0.6284,0.1295,0.0336,0.0222,0.022,0.0166,0.0
EIF2S1,0.9999,0.982,0.9604,0.9619,0.8325,0.4639,0.2134,0.0672,0.031,0.0171,0.0
EIF2S2,0.9999,1.0096,0.9953,0.9842,0.7845,0.5147,0.1573,0.0478,0.0269,0.0205,0.0
EIF2S3,0.9999,0.9918,0.9758,0.9683,0.7318,0.4741,0.1749,0.0457,0.0254,0.0128,0.0
EIF3B,0.9999,0.8808,0.6883,0.3425,0.1239,0.0508,0.0336,0.0265,0.0154,0.0115,0.0
EIF3CL|EIF3C,0.9999,0.9258,0.8499,0.997,0.506,0.1305,0.0971,0.0581,0.0328,0.0366,0.0
EIF3D,0.9999,0.8585,0.6275,0.3517,0.1243,0.0905,0.0235,0.0081,0.0142,0.0062,0.0
EIF3E,0.9999,0.8405,0.4563,0.4464,0.1074,0.0153,0.0039,0.007,0.0064,0.0125,0.0
EIF3F,0.9999,0.9316,0.796,0.4928,0.2399,0.1147,0.0834,0.0762,0.0443,0.0164,0.0
EIF3G,0.9999,0.9315,0.6849,0.4306,0.3636,0.1314,0.0752,0.0476,0.0294,0.031,0.0
EIF3I,0.9999,0.882,0.6662,0.3409,0.1314,0.0554,0.0381,0.0331,0.021,0.0157,0.0
EIF3J,0.9999,1.0151,0.9673,1.0429,1.2008,0.6445,0.1756,0.0443,0.0233,0.0122,0.0
EIF3K,0.9999,1.0971,0.8534,0.7737,0.8167,0.5195,0.1177,0.1182,0.0514,0.0373,0.0
EIF3L,0.9999,0.9275,1.0905,2.6504,4.4696,1.717,0.1503,0.113,0.0878,0.0404,0.0
EIF3M,0.9999,0.9989,0.8653,0.5758,0.3263,0.1715,0.088,0.0624,0.0394,0.0164,0.0
EIF3S3|EIF3H,0.9999,0.9463,0.826,1.6894,1.752,0.6345,0.288,0.157,0.0829,0.0421,0.0
EIF4A1,0.9999,0.9351,0.877,0.82,0.417,0.1304,0.043,0.0386,0.024,0.0091,0.0
EIF4A2,0.9999,1.047,0.9999,1.2381,1.2502,0.8798,0.5698,0.2112,0.0324,0.0087,0.0
EIF4A3,0.9999,0.8824,0.9165,1.1412,1.0573,0.6055,0.1166,0.0929,0.0281,0.0124,0.0
EIF4B,0.9999,0.9899,1.0413,1.0516,1.4069,1.1165,1.2335,1.1087,0.7177,0.8809,0.0
EIF4E,0.9999,1.1831,1.1991,1.413,1.1023,0.8715,0.3865,0.0725,0.0265,0.014,0.0
EIF4G1,0.9999,0.8965,0.7254,0.3392,0.1137,0.0735,0.0552,0.0462,0.0335,0.0254,0.0
EIF4G2,0.9999,0.7794,0.3902,0.0835,0.0382,0.0245,0.0233,0.0172,0.0105,0.0073,0.0
EIF4G3,0.9999,0.8268,0.5403,0.2112,0.1736,0.1207,0.0827,0.0866,0.0518,0.031,0.0
EIF4H,0.9999,1.0458,1.0708,0.9769,0.6037,0.3635,0.2186,0.1551,0.1176,0.0963,0.0
EIF5,0.9999,1.0183,1.03,1.0982,0.6558,0.1362,0.0531,0.0411,0.0311,0.0095,0.0
EIF5A,0.9999,0.9627,0.9139,0.7252,0.308,0.1163,0.0582,0.048,0.0324,0.0243,0.0
EIF5B,0.9999,0.9223,0.98,0.7929,0.4587,0.193,0.0571,0.0474,0.0352,0.0242,0.0
EIF6,0.9999,1.0603,1.034,0.9542,0.5647,0.4283,0.5607,0.7037,0.2379,0.0575,0.0
ELAC2,0.9999,0.9473,0.896,0.8222,0.7821,0.6469,0.5271,0.3808,0.1812,0.0514,0.0
ELAVL1,0.9999,0.9837,1.035,0.8918,0.3317,0.1208,0.0395,0.0362,0.044,0.0336,0.0
ELF1,0.9999,0.8516,0.577,0.1704,0.0199,0.006,0.0044,0.0107,0.0181,0.0028,0.0
ELL,0.9999,1.0416,0.8701,0.2971,0.16,0.0663,0.0558,0.0598,0.0231,0.0156,0.0
ELMO1,0.9999,1.1432,1.0679,1.8818,0.8146,0.0874,0.0545,0.042,0.0233,0.0035,0.0
ELOF1,0.9999,1.0816,1.0219,0.9849,0.6601,0.4561,0.2844,0.2053,0.0927,0.0423,0.0
ELP2,0.9999,0.9589,0.9894,0.9591,0.8672,0.5542,0.3872,0.1247,0.0518,0.0211,0.0
ELP3,0.9999,0.8764,0.8713,0.8402,0.9202,0.6408,0.4333,0.065,0.0362,0.02,0.0
ELP4,0.9999,0.9689,0.9524,0.8678,0.8206,0.6543,0.5442,0.4066,0.3293,0.2029,0.0
ELP6,0.9999,0.917,0.8924,0.9405,0.905,0.6576,0.625,0.5266,0.3861,0.2364,0.0
EMG1|NA,0.9999,1.1568,1.4712,1.6131,1.268,1.0833,0.5812,0.2426,0.0902,0.0654,0.0
EML2,0.9999,0.9625,1.022,1.0918,0.9209,0.4931,0.1035,0.1065,0.0379,0.0128,0.0
EML3,0.9999,1.0234,0.9826,0.5538,0.312,0.1562,0.0539,0.0446,0.0312,0.0224,0.0
EML4,0.9999,0.9644,0.7704,0.4246,0.1426,0.0712,0.0474,0.0367,0.024,0.0109,0.0
ENDOG,0.9999,1.072,1.1194,1.0665,0.7638,0.3381,0.0524,0.2336,0.0627,0.0586,0.0
ENGASE,0.9999,0.9568,0.992,0.9716,0.8937,0.6324,0.29,0.1131,0.0876,0.0293,0.0
ENO1,0.9999,1.0227,1.0086,1.0123,1.0345,0.9348,0.9107,0.7561,0.6473,0.1273,0.0
ENO2,0.9999,0.9471,0.9648,0.9434,0.9021,0.8048,0.5979,0.5368,0.4413,0.202,0.0
ENO3,0.9999,0.8828,0.7433,0.7933,0.7955,0.6847,0.6296,0.5558,0.3907,0.143,0.0
ENOPH1,0.9999,0.9788,0.8713,0.8376,0.3582,0.0901,0.0578,0.0485,0.0189,0.0109,0.0
ENOSF1,0.9999,0.701,0.8929,0.8722,0.7188,0.7975,0.6108,0.5338,0.2286,0.0817,0.0
ENSA,0.9999,0.8035,0.8982,0.8645,1.3322,0.6707,0.6948,0.8703,0.7312,0.5459,0.0
ENTPD5,0.9999,0.9793,0.9053,1.038,0.9873,0.5856,0.3324,0.2033,0.1215,0.0408,0.0
ENY2,0.9999,1.1259,1.0213,0.9171,0.8169,0.6403,0.3822,0.3126,0.196,0.227,0.0
EOGT,0.9999,0.9487,0.9249,0.9448,0.9257,0.5018,0.4084,0.2941,0.0648,0.0524,0.0
EP300,0.9999,0.8565,0.6988,0.6167,0.4583,0.1117,0.0636,0.0583,0.0475,0.0473,0.0
EPB41,0.9999,1.1208,1.277,1.052,0.9131,0.2639,0.0924,0.0753,0.0524,0.0337,0.0
EPB41L2,0.9999,0.9739,1.0684,0.8994,0.9885,0.4784,0.081,0.0527,0.036,0.0211,0.0
EPG5,0.9999,0.9967,0.8619,0.6694,0.3751,0.2277,0.1208,0.0755,0.0751,0.0086,0.0
EPHX2,0.9999,0.9579,0.8632,1.1129,1.0363,0.818,0.8082,0.5591,0.0668,0.0266,0.0
EPM2AIP1,0.9999,0.9655,0.9119,0.8457,0.6528,0.3474,0.091,0.0507,0.0271,0.0248,0.0
EPN1,0.9999,0.9355,0.9344,0.8092,0.4625,0.2152,0.1188,0.0747,0.0437,0.0278,0.0
EPPK1,0.9999,0.5133,0.0764,0.0603,0.0482,0.0362,0.0292,0.0231,0.0136,0.0091,0.0
EPRS,0.9999,0.8562,0.5812,0.1794,0.1022,0.0743,0.072,0.061,0.0415,0.0342,0.0
EPS15,0.9999,0.9248,0.8943,0.7832,0.4282,0.1289,0.0616,0.0527,0.0319,0.0166,0.0
EPS15L1,0.9999,1.0153,0.9164,0.6922,0.5566,0.2496,0.0985,0.0802,0.0439,0.0203,0.0
ERAP1,0.9999,0.9713,0.8591,0.8198,0.4942,0.1229,0.0909,0.0626,0.0395,0.031,0.0
ERC1,0.9999,1.0055,0.8697,0.5291,0.2215,0.1283,0.1011,0.0936,0.0533,0.0191,0.0
ERCC2,0.9999,0.9442,0.794,0.6705,0.4852,0.1966,0.0738,0.0457,0.0441,0.0183,0.0
ERCC4,0.9999,0.997,0.9076,0.7843,0.3757,0.1741,0.1124,0.0996,0.0832,0.043,0.0
ERCC6|NA,0.9999,0.9086,0.8721,0.7565,0.7251,0.4811,0.3054,0.2077,0.1895,0.1041,0.0
ERCC6L,0.9999,0.9064,0.6187,0.1402,0.0744,0.0511,0.0323,0.0324,0.0237,0.0156,0.0
ERH,0.9999,1.0751,1.0163,1.1022,1.4369,1.4093,1.0483,0.828,0.5498,0.3168,0.0
ERI1,0.9999,0.9538,0.8175,0.5321,0.2486,0.1996,0.0686,0.066,0.106,0.0228,0.0
ERI3,0.9999,1.4549,1.0656,1.0005,0.7651,0.4979,0.2621,0.1834,0.0565,0.0279,0.0
ERO1L,0.9999,0.9741,0.951,0.9649,0.8996,0.3623,0.0823,0.0683,0.053,0.0364,0.0
ERO1LB,0.9999,0.8888,0.8163,0.7565,0.5314,0.1198,0.0741,0.0711,0.0395,0.0344,0.0
ERP29,0.9999,0.9846,0.9603,0.9471,0.855,0.6144,0.3591,0.2368,0.222,0.1871,0.0
ERP44,0.9999,1.1646,1.0026,0.8781,0.6506,0.3573,0.1453,0.1019,0.084,0.0512,0.0
ESD,0.9999,1.0213,1.0379,1.0259,0.8543,0.757,0.5577,0.2992,0.042,0.0207,0.0
ESPL1,0.9999,0.7918,0.8087,0.5558,0.2172,0.1249,0.1758,0.1647,0.0561,0.0478,0.0
ESRRB,0.9999,0.893,0.6866,0.2912,0.0847,0.0201,0.0315,0.0241,0.0168,0.0179,0.0
ESYT1,0.9999,0.9311,0.7594,0.2942,0.1333,0.0892,0.0538,0.0337,0.0255,0.0163,0.0
ETF1,0.9999,0.9262,0.915,0.9861,0.8418,0.2279,0.0461,0.0482,0.0232,0.011,0.0
ETFA,0.9999,1.1216,1.2826,1.3692,1.3915,1.0337,0.4907,0.4579,0.0899,0.0247,0.0
ETFB,0.9999,1.0286,1.1032,1.1215,1.1598,0.938,0.4959,0.3972,0.1082,0.0449,0.0
ETHE1,0.9999,1.075,1.1633,1.1804,1.1817,1.077,0.9022,0.7409,0.4269,0.0492,0.0
ETNK1,0.9999,0.9345,0.9042,1.0327,1.0174,0.5763,0.2508,0.1814,0.0947,0.0317,0.0
EVI5,0.9999,0.9457,0.8503,0.3437,0.0673,0.0333,0.0273,0.0346,0.0347,0.0165,0.0
EXOC1,0.9999,0.9137,0.7835,0.391,0.0476,0.0385,0.0248,0.0235,0.0119,0.0072,0.0
EXOC2,0.9999,0.9126,0.7996,0.399,0.0682,0.0619,0.0342,0.0343,0.025,0.0176,0.0
EXOC3,0.9999,0.9369,0.832,0.3899,0.0358,0.0201,0.017,0.0082,0.0117,0.0047,0.0
EXOC4,0.9999,0.9209,0.7821,0.4356,0.1866,0.101,0.0635,0.0657,0.0285,0.0152,0.0
EXOC5,0.9999,0.9269,0.8531,0.5023,0.0893,0.0494,0.0346,0.0286,0.013,0.0051,0.0
EXOC6,0.9999,1.0702,0.8701,0.4593,0.1268,0.0697,0.0639,0.0417,0.0073,0.0058,0.0
EXOC7,0.9999,0.8839,0.8309,0.6387,0.2428,0.1472,0.1042,0.0757,0.0434,0.0166,0.0
EXOC8,0.9999,0.9623,0.7596,0.4625,0.1086,0.0668,0.0404,0.0288,0.0141,0.0107,0.0
EXOSC1,0.9999,1.0542,1.5238,1.4001,0.4678,0.2114,0.1261,0.0855,0.0567,0.0293,0.0
EXOSC2,0.9999,1.0119,1.0131,1.1177,1.2504,0.9752,0.8052,0.6318,0.2025,0.0467,0.0
EXOSC3,0.9999,1.2279,1.9285,2.6917,2.1876,0.4975,0.1319,0.1146,0.0693,0.0162,0.0
EXOSC4,0.9999,0.6992,0.8819,1.0774,1.364,1.2675,0.9948,0.7497,0.3215,0.0435,0.0
EXOSC5,0.9999,1.0713,1.5237,2.1387,2.531,2.6341,1.4986,0.5972,0.0711,0.0319,0.0
EXOSC6,0.9999,5.1754,1.2809,1.8122,2.9254,2.9588,2.5051,1.8544,0.6054,0.0751,0.0
EXOSC7,0.9999,1.0308,1.436,2.0358,2.8103,2.9252,2.5704,2.0751,0.923,0.1168,0.0
EXOSC8,0.9999,1.0353,1.4571,2.0526,2.5406,2.6574,1.8275,1.1952,0.1487,0.0288,0.0
EXOSC9,0.9999,1.033,1.6645,2.4159,3.2401,3.1455,2.9505,2.2432,0.8293,0.0756,0.0
EYA3,0.9999,0.8625,0.6782,0.1109,0.0622,0.0206,0.0272,0.0194,0.0067,0.006,0.0
EZH2,0.9999,0.8314,0.5246,0.3371,0.202,0.104,0.0867,0.0722,0.0568,0.0213,0.0
EZR,0.9999,0.9793,1.0182,1.0797,0.9672,0.3487,0.0305,0.0248,0.0157,0.0111,0.0
F11R,0.9999,1.0109,0.9772,0.811,0.9089,0.4026,0.5641,0.3863,0.1776,0.0675,0.0
FAAP100,0.9999,0.8376,0.8585,0.6688,0.6537,0.6052,0.5026,0.319,0.0933,0.0263,0.0
FABP5,0.9999,1.0715,1.0634,1.1511,1.0382,0.9034,0.5961,0.2083,0.0819,0.0489,0.0
FADD,0.9999,0.9873,0.903,0.578,0.517,0.3928,0.2108,0.1642,0.2131,0.0937,0.0
FAF1,0.9999,0.9693,0.9496,0.9732,0.9103,0.688,0.3037,0.0858,0.0408,0.0229,0.0
FAH,0.9999,0.9373,0.9671,1.0304,0.9371,0.7918,0.8181,0.7231,0.5087,0.5215,0.0
FAHD1,0.9999,1.1329,1.158,1.0958,1.4113,1.1587,1.1202,1.0383,0.8322,0.9715,0.0
FAHD2A,0.9999,1.0101,1.0469,0.9832,1.0165,0.8442,0.8011,0.6702,0.2767,0.2262,0.0
FAM102B,0.9999,0.9481,0.9234,0.6396,0.3782,0.096,0.0849,0.0491,0.0407,0.0135,0.0
FAM107B,0.9999,0.8081,0.6804,0.9403,0.917,0.4845,0.4395,0.3557,0.2105,0.1755,0.0
FAM114A2,0.9999,0.9136,0.8693,0.7728,0.5216,0.1246,0.0677,0.0631,0.0282,0.0284,0.0
FAM115A,0.9999,0.9361,0.7782,0.4499,0.1383,0.069,0.0292,0.0195,0.0118,0.0071,0.0
FAM115C,0.9999,1.0883,0.5259,0.1506,0.0806,0.1032,0.0408,0.0218,0.0071,0.0173,0.0
FAM117A,0.9999,0.9749,0.879,0.7591,0.7024,0.4097,0.2593,0.1373,0.0791,0.0364,0.0
FAM118A,0.9999,1.001,0.9819,0.5154,0.1326,0.1086,0.0828,0.0829,0.058,0.0237,0.0
FAM118B,0.9999,1.0199,0.967,0.7984,0.2573,0.1677,0.0871,0.0482,0.0025,0.0099,0.0
FAM120B,0.9999,0.9731,0.8185,0.4795,0.1224,0.091,0.08,0.0695,0.0434,0.0276,0.0
FAM122A,0.9999,0.8677,0.8402,0.7381,0.6537,0.6149,0.3038,0.2372,0.199,0.0699,0.0
FAM129A,0.9999,1.044,0.9784,0.7765,0.2069,0.0903,0.0477,0.0287,0.0312,0.0173,0.0
FAM129B,0.9999,0.9496,0.988,0.9822,0.8985,0.324,0.0575,0.0454,0.0269,0.0188,0.0
FAM136A,0.9999,1.1446,1.1506,1.3244,1.3514,1.3894,0.8735,0.5569,0.3878,0.254,0.0
FAM160B1,0.9999,0.8277,0.8156,0.6891,0.6736,0.3583,0.1778,0.1489,0.0837,0.0385,0.0
FAM160B2,0.9999,1.3053,0.943,0.4646,0.2325,0.2086,0.0651,0.0731,0.0499,0.0158,0.0
FAM172A,0.9999,0.9625,0.899,0.7809,0.7546,0.4651,0.2357,0.1915,0.0606,0.0408,0.0
FAM175A,0.9999,0.8013,0.7528,0.6222,0.6108,0.602,0.9101,1.043,0.5359,0.0308,0.0
FAM175B,0.9999,1.0065,0.957,0.9196,0.8784,0.8468,0.6168,0.4366,0.3341,0.0733,0.0
FAM188A,0.9999,1.0028,1.0045,0.9725,0.8604,0.5531,0.1346,0.0996,0.0276,0.0066,0.0
FAM195B,0.9999,1.1291,0.9887,0.7456,0.5918,0.5532,0.3261,0.2436,0.4751,0.1616,0.0
FAM207A,0.9999,1.0713,0.8595,0.5925,0.3985,0.1563,0.0743,0.051,0.0314,0.0065,0.0
FAM213B,0.9999,1.2426,0.9104,0.9593,1.012,0.7367,0.6195,0.3534,0.1287,0.0746,0.0
FAM45B|FAM45A,0.9999,0.9979,0.898,0.8255,0.4972,0.062,0.0408,0.0231,0.0215,0.0123,0.0
FAM49A,0.9999,0.8779,0.7743,0.2996,0.1294,0.0867,0.0429,0.0436,0.0264,0.0062,0.0
FAM49B,0.9999,0.9763,0.9977,1.0806,0.9196,0.7048,0.2259,0.0818,0.0646,0.0658,0.0
FAM50A,0.9999,1.1405,0.8781,0.519,0.1999,0.0859,0.0874,0.0675,0.0585,0.0264,0.0
FAM76A,0.9999,1.036,0.9439,0.8189,0.4041,0.1939,0.0938,0.0523,0.0439,0.0182,0.0
FAM89A,0.9999,0.9637,0.8565,1.2525,0.5844,0.2126,0.1235,0.127,0.0804,0.0417,0.0
FAM91A1,0.9999,1.0532,0.9751,0.8799,0.7661,0.4483,0.1095,0.0515,0.0397,0.0177,0.0
FAM96A,0.9999,1.0203,0.9698,0.9331,0.8465,0.6558,0.5154,0.3807,0.1449,0.0462,0.0
FAM96B,0.9999,1.0561,0.8748,0.55,0.145,0.0532,0.0634,0.0451,0.0243,0.0364,0.0
FAM98B,0.9999,0.948,0.9171,0.8451,0.4732,0.0767,0.0459,0.0329,0.0119,0.0075,0.0
FAM98C,0.9999,1.0354,0.8587,0.8353,0.4086,0.1315,0.0959,0.0672,0.0508,0.0217,0.0
FANCB,0.9999,0.9721,0.8308,0.737,0.7131,0.7072,0.6018,0.3759,0.0981,0.0353,0.0
FANCD2,0.9999,0.9579,0.8138,0.3453,0.1903,0.1452,0.0796,0.0631,0.0476,0.0346,0.0
FANCI,0.9999,0.9754,0.8087,0.4,0.1581,0.0933,0.0392,0.0317,0.0202,0.011,0.0
FARSA,0.9999,0.8196,0.7717,0.724,0.3618,0.0917,0.0871,0.0596,0.0324,0.0312,0.0
FARSB,0.9999,0.9901,0.9492,0.9285,0.6484,0.3393,0.1537,0.1019,0.0659,0.0449,0.0
FASN,0.9999,0.9458,0.9644,0.8634,0.6602,0.2015,0.0577,0.0539,0.0405,0.0265,0.0
FASTKD2,0.9999,1.0326,1.1922,1.2951,1.077,0.4084,0.0968,0.0847,0.0384,0.0199,0.0
FASTKD5,0.9999,0.8872,0.8782,0.4969,0.0818,0.0676,0.0443,0.0525,0.0191,0.0129,0.0
FBL,0.9999,1.0177,0.8531,0.5676,0.4247,0.1635,0.0848,0.0368,0.0279,0.0151,0.0
FBN3|ACYP1,0.9999,1.015,1.0683,1.173,1.1065,0.7374,0.2874,0.0841,0.0332,0.0315,0.0
FBRS,0.9999,0.6908,0.5893,0.3459,0.3278,0.2164,0.1079,0.0669,0.0348,0.0459,0.0
