Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
SYAP1,0.9999,0.9008,0.8623,0.8378,0.6535,0.3264,0.0948,0.0414,0.0258,0.0078,0.0
SYK,0.9999,0.8581,0.7283,0.2256,0.1513,0.1126,0.0733,0.0598,0.0418,0.0154,0.0
SYMPK,0.9999,0.8556,0.5983,0.221,0.1322,0.0829,0.0673,0.0578,0.0415,0.0343,0.0
SYNCRIP,0.9999,0.9375,0.9421,1.1441,1.1448,0.3006,0.0645,0.0364,0.0348,0.0229,0.0
SYNJ1,0.9999,1.048,0.8378,0.6516,0.5545,0.1241,0.091,0.073,0.0658,0.0152,0.0
SYNRG,0.9999,0.8993,0.8047,0.6145,0.4441,0.1666,0.1277,0.1006,0.1025,0.0474,0.0
SYTL2,0.9999,0.9962,1.0932,1.0394,0.4533,0.1359,0.059,0.0426,0.0059,0.0147,0.0
SZRD1,0.9999,0.8029,0.8707,0.6936,0.6691,0.5405,0.5391,0.3925,0.3033,0.3224,0.0
TAB1,0.9999,0.9617,0.9433,0.6306,0.2268,0.1194,0.0934,0.0709,0.0744,0.009,0.0
TAB3,0.9999,0.8773,0.6693,0.3257,0.1378,0.0733,0.0799,0.1185,0.1165,0.0963,0.0
TACC3,0.9999,1.1626,1.1726,0.9362,0.9673,0.6119,0.5012,0.314,0.6169,0.6793,0.0
TACO1,0.9999,1.1534,0.8547,0.3676,0.1423,0.089,0.0627,0.0504,0.0442,0.0335,0.0
TAF10,0.9999,1.1527,1.2398,0.7904,0.9459,0.8627,0.4456,0.232,0.17,0.1205,0.0
TAF12,0.9999,0.8807,0.7625,0.4595,0.2263,0.1051,0.0493,0.0463,0.0342,0.0082,0.0
TAF15,0.9999,0.8037,0.8535,0.7202,1.0095,1.0061,0.7021,0.5534,0.6023,0.5706,0.0
TAF6L,0.9999,0.9374,0.8059,0.4796,0.2924,0.1556,0.0862,0.0251,0.0334,0.0152,0.0
TAF7,0.9999,1.0701,1.1481,0.697,0.5565,0.4887,0.3308,0.137,0.1585,0.1388,0.0
TAGLN2,0.9999,1.0607,1.13,1.0072,0.6236,0.2513,0.1205,0.1105,0.0562,0.0355,0.0
TALDO1,0.9999,1.0926,1.0746,0.9203,0.5162,0.2877,0.2113,0.1782,0.1928,0.1669,0.0
TANGO2,0.9999,0.8783,0.9587,1.0268,1.0625,0.6876,0.2445,0.1032,0.1511,0.0264,0.0
TANK,0.9999,1.2467,0.9337,0.5705,0.2705,0.2232,0.2197,0.2352,0.2973,0.1653,0.0
TAOK1,0.9999,0.9842,0.9781,0.7757,0.6551,0.1053,0.0623,0.057,0.0528,0.0293,0.0
TAOK3,0.9999,1.0055,0.9913,0.9044,0.5991,0.0954,0.058,0.0344,0.0423,0.0129,0.0
TARBP1,0.9999,1.0271,1.0565,0.8975,0.8184,0.3109,0.0972,0.0893,0.0563,0.0478,0.0
TARS,0.9999,0.9883,0.9755,0.7363,0.3868,0.1328,0.0675,0.0512,0.0328,0.0306,0.0
TARS2,0.9999,1.1263,0.9312,0.9355,0.7043,0.3503,0.0717,0.0379,0.039,0.0152,0.0
TATDN1,0.9999,0.8613,0.8254,0.9944,0.9732,0.7791,0.7038,0.6495,0.592,0.0547,0.0
TATDN2|NA,0.9999,1.225,0.8546,1.0136,0.823,0.6928,0.1038,0.502,0.4915,0.117,0.0
TATDN3,0.9999,0.8568,0.9362,0.8779,0.7647,0.7235,0.5081,0.4391,0.3817,0.4016,0.0
TAX1BP1,0.9999,1.0764,1.0865,0.8945,0.5769,0.212,0.1136,0.0454,0.0343,0.0163,0.0
TAX1BP3,0.9999,0.8152,0.7523,0.3253,0.2297,0.1851,0.0979,0.0883,0.0244,0.0452,0.0
TBC1D10A|NA,0.9999,0.9237,0.8717,0.6031,0.2016,0.0765,0.0476,0.0535,0.0359,0.0247,0.0
TBC1D10B,0.9999,0.738,0.7904,0.6132,0.4383,0.1664,0.0436,0.0108,0.0203,0.0194,0.0
TBC1D13,0.9999,0.9262,0.933,1.0514,1.0453,0.7591,0.3176,0.1452,0.057,0.0373,0.0
TBC1D15,0.9999,0.8725,0.8102,0.5558,0.1615,0.0747,0.0393,0.0318,0.016,0.0087,0.0
TBC1D22A,0.9999,0.9149,0.8623,0.8509,0.7749,0.5469,0.426,0.2001,0.0817,0.0463,0.0
TBC1D22B,0.9999,0.9505,0.904,0.9029,0.6661,0.2485,0.055,0.0641,0.042,0.0251,0.0
TBC1D23,0.9999,0.7635,0.7708,0.7455,0.334,0.1337,0.0554,0.0579,0.0404,0.008,0.0
TBC1D24,0.9999,0.9667,0.9544,0.8844,0.447,0.1498,0.0868,0.0605,0.0654,0.0373,0.0
TBC1D4,0.9999,1.0829,1.0207,0.8368,0.5577,0.1883,0.1237,0.0706,0.0347,0.009,0.0
TBC1D5,0.9999,0.9604,0.9005,0.7385,0.272,0.0851,0.0875,0.0367,0.0436,0.0017,0.0
TBC1D9B,0.9999,0.9846,0.9139,0.7407,0.3792,0.1564,0.0371,0.0389,0.03,0.007,0.0
TBCA,0.9999,1.1804,1.3099,1.1739,0.9965,0.9387,0.8913,0.5504,0.5585,0.3384,0.0
TBCB,0.9999,1.0658,1.0437,0.8506,0.2861,0.06,0.0123,0.0085,0.0126,0.0077,0.0
TBCD,0.9999,0.9931,1.0002,0.8268,0.5588,0.1261,0.0792,0.0559,0.0573,0.0171,0.0
TBCE,0.9999,0.8934,0.8012,0.2659,0.1533,0.0745,0.0499,0.0432,0.0609,0.0167,0.0
TBK1,0.9999,0.8861,0.7105,0.3027,0.0729,0.0437,0.0484,0.045,0.0189,0.0239,0.0
TBL1XR1,0.9999,0.8797,0.7972,0.8033,0.7658,0.4698,0.3219,0.2172,0.1661,0.0147,0.0
TBPL1,0.9999,1.1558,1.431,0.7211,0.2095,0.1397,0.0869,0.0816,0.0444,0.012,0.0
TBRG4,0.9999,1.1472,0.6926,0.3145,0.1052,0.0483,0.0308,0.0151,0.0137,0.0116,0.0
TCEA1,0.9999,0.9304,0.935,0.8209,0.5908,0.3708,0.1555,0.1007,0.0968,0.0851,0.0
TCEB2,0.9999,0.8564,0.8142,0.9526,1.0867,0.5529,0.0931,0.0208,0.0165,0.0089,0.0
TCEB3,0.9999,0.9213,0.7084,0.1051,0.0665,0.0367,0.0257,0.0241,0.0193,0.0104,0.0
TCERG1,0.9999,0.9721,0.9825,0.6488,0.1019,0.057,0.0379,0.027,0.0164,0.0057,0.0
TCF12,0.9999,0.9189,0.9226,0.541,0.2947,0.1327,0.0743,0.0387,0.048,0.0342,0.0
TCF3,0.9999,1.0578,0.9423,0.5364,0.3858,0.2078,0.094,0.069,0.0745,0.033,0.0
TCOF1,0.9999,0.9446,1.3145,1.2029,1.1587,0.6342,0.3409,0.2085,0.2101,0.3458,0.0
TCP1,0.9999,1.1321,1.3624,1.3305,1.6178,1.158,1.0426,0.4885,0.1619,0.0231,0.0
TCP11L1,0.9999,0.8845,0.9604,0.6332,0.275,0.1438,0.0028,0.0291,0.0247,0.0298,0.0
TDP1,0.9999,1.0214,0.9856,0.7229,0.1283,0.051,0.0,0.0021,0.0,0.0588,0.0
TDP2,0.9999,0.9149,0.7731,0.5793,0.3377,0.0902,0.0219,0.0436,0.0229,0.0083,0.0
TDRD7,0.9999,0.9587,0.8626,0.3849,0.1714,0.1072,0.0593,0.0419,0.021,0.0202,0.0
TELO2,0.9999,0.817,0.7588,0.2407,0.0803,0.0214,0.005,0.013,0.0022,0.0061,0.0
TERF2IP,0.9999,0.9034,0.904,0.7391,0.6096,0.3509,0.1566,0.1049,0.0935,0.0809,0.0
TES,0.9999,1.1016,1.1347,1.0192,0.7842,0.4256,0.0547,0.0287,0.0162,0.0046,0.0
TFAM,0.9999,1.4332,1.0642,1.157,0.7368,0.3641,0.2099,0.117,0.0981,0.0557,0.0
TFB1M,0.9999,0.7894,0.8109,0.6843,0.4442,0.104,0.0235,0.0608,0.076,0.0293,0.0
TFB2M,0.9999,1.0763,0.9527,1.0544,0.7534,0.2625,0.0966,0.0897,0.0517,0.0337,0.0
TFCP2,0.9999,1.1063,0.981,0.2653,0.0244,0.0344,0.0125,0.0398,0.0238,0.0224,0.0
TFG,0.9999,0.9555,0.9347,0.9074,0.8881,0.7402,0.6939,0.5852,0.6635,0.5533,0.0
TFRC,0.9999,1.1832,1.3465,1.1836,1.1457,0.4921,0.3307,0.1512,0.1662,0.0666,0.0
TGFB1,0.9999,1.087,0.9358,0.8822,0.9998,0.9208,0.8794,0.6519,0.4785,0.1982,0.0
TGFBRAP1,0.9999,0.987,1.0684,0.6528,0.3033,0.1986,0.1554,0.0962,0.0972,0.068,0.0
TGM2,0.9999,1.013,1.0338,0.9959,0.8614,0.4959,0.1308,0.0515,0.0283,0.0141,0.0
TGS1,0.9999,0.8954,0.7319,0.296,0.1972,0.1052,0.0666,0.0686,0.0703,0.0158,0.0
TH1L|NELFCD,0.9999,0.8364,0.6386,0.231,0.0833,0.0746,0.0399,0.0269,0.0235,0.0071,0.0
THADA,0.9999,0.9529,1.0222,0.6423,0.328,0.1538,0.0889,0.0631,0.039,0.0068,0.0
THG1L,0.9999,1.0461,1.0962,1.0406,0.9498,0.7959,0.5164,0.2052,0.0188,0.0021,0.0
THNSL1,0.9999,0.9606,0.9079,0.8697,0.7533,0.3434,0.1847,0.1191,0.0615,0.0168,0.0
THOC2,0.9999,0.7813,0.7274,0.6609,0.2573,0.0576,0.0286,0.0394,0.0311,0.0068,0.0
THOC3,0.9999,0.8656,0.7135,0.7042,0.6836,0.4435,0.1972,0.1421,0.1098,0.0968,0.0
THOC5,0.9999,1.0156,1.1472,1.5884,2.3688,0.626,0.2389,0.1632,0.1142,0.0269,0.0
THOP1,0.9999,0.9914,0.9794,1.0382,0.9174,0.7505,0.6599,0.4889,0.2304,0.0436,0.0
THRAP3,0.9999,0.9507,0.888,0.6335,0.4045,0.2175,0.1554,0.1222,0.1473,0.1419,0.0
THTPA,0.9999,0.9509,0.8662,0.7812,0.6107,0.3282,0.1802,0.1845,0.2046,0.1275,0.0
THUMPD1,0.9999,1.0287,1.0209,1.0642,1.0338,0.8709,0.4934,0.1784,0.0803,0.0247,0.0
THUMPD2,0.9999,0.8972,0.9134,0.9403,0.8669,0.5366,0.461,0.2881,0.1796,0.0248,0.0
THUMPD3,0.9999,0.9574,0.9297,1.012,1.0218,0.6436,0.1101,0.0271,0.02,0.0036,0.0
